GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0012100003,1610612738,BOS,Boston,1627759,Jaylen Brown,Jaylen,G,,26.000000:23,8.0,16.0,0.5,4.0,12.0,0.333,5.0,6.0,0.833,0.0,4.0,4.0,3.0,1.0,1.0,3.0,1.0,25.0,4.0
0012100003,1610612738,BOS,Boston,203935,Marcus Smart,Marcus,G,,23.000000:40,2.0,6.0,0.333,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,4.0,4.0
0012100003,1610612738,BOS,Boston,201143,Al Horford,Al,,,18.000000:29,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,1.0,6.0,7.0,0.0,1.0,0.0,1.0,1.0,5.0,-3.0
0012100003,1610612738,BOS,Boston,1626196,Josh Richardson,Josh,,,24.000000:24,1.0,8.0,0.125,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,11.0
0012100003,1610612738,BOS,Boston,203471,Dennis Schroder,Dennis,,,19.000000:33,1.0,7.0,0.143,0.0,2.0,0.0,4.0,4.0,1.0,0.0,3.0,3.0,4.0,2.0,0.0,2.0,2.0,6.0,-12.0
0012100003,1610612738,BOS,Boston,1630202,Payton Pritchard,Payton,,,21.000000:37,3.0,9.0,0.333,3.0,6.0,0.5,0.0,0.0,0.0,2.0,3.0,5.0,5.0,0.0,0.0,2.0,2.0,9.0,-3.0
0012100003,1610612738,BOS,Boston,1630174,Aaron Nesmith,Aaron,,,14.000000:34,4.0,5.0,0.8,2.0,3.0,0.667,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0
0012100003,1610612738,BOS,Boston,1629684,Grant Williams,Grant,,,9.000000:44,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,-3.0
0012100003,1610612738,BOS,Boston,202683,Enes Freedom,Enes,,,9.000000:42,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0
0012100003,1610612738,BOS,Boston,1629641,Romeo Langford,Romeo,,,9.000000:56,2.0,6.0,0.333,2.0,2.0,1.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,7.0,9.0
0012100003,1610612738,BOS,Boston,1627853,Ryan Arcidiacono,Ryan,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0012100003,1610612738,BOS,Boston,1628981,Bruno Fernando,Bruno,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0012100003,1610612738,BOS,Boston,1630573,Sam Hauser,Sam,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0012100003,1610612738,BOS,Boston,1629726,Garrison Mathews,Garrison,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0012100003,1610612738,BOS,Boston,1629752,Juwan Morgan,Juwan,,DNP - Injury/Illness,,,,,,,,,,,,,,,,,,,,
0012100003,1610612738,BOS,Boston,203953,Jabari Parker,Jabari,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0012100003,1610612738,BOS,Boston,1629033,Theo Pinson,Theo,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
